Package Name                          Version                              Info
libcommons-math3-java                 3.6.1-3                              Java lightweight mathematics and statistics components               
libcommons-parent-java                43-1                                 Maven metadata for Apache Commons project                            
libcompfaceg1:armhf                   1:1.5.2-5                            Compress/decompress images for mailheaders, libc6 runtime            
libcurvesapi-java                     1.05-1                               Java implementation of mathematical curves defined over a set of cont
libdom4j-java                         2.1.1-2                              Flexible XML framework for Java                                      
libdtd-parser-java                    1.2~svn20110404-1                    Java library for parsing XML DTDs                                    
libe-book-0.1-1:armhf                 0.1.3-1+b2                           library for reading and converting various  e-book formats           
libehcache-java                       2.6.11-3                             distributed cache library                                            
libel-api-java                        3.0.0-2+deb10u1                      Expression Language API                                              
libeot0:armhf                         0.01-5                               Library for parsing/converting Embedded OpenType files               
libepubgen-0.1-1:armhf                0.1.1-1                              EPUB generator library                                               
libetonyek-0.1-1:armhf                0.1.9-1                              library for reading and converting Apple Keynote presentations       
libetpan20:armhf                      1.9.3-2                              mail handling library                                                
libexttextcat-2.0-0:armhf             3.4.5-1                              Language detection library                                           
libexttextcat-data                    3.4.5-1                              Language detection library - data files                              
libfastinfoset-java                   1.2.12-3                             Java library implementing the Fast Infoset standard                  
libfbclient2:armhf                    3.0.5.33100.ds4-2                    Firebird client library                                              
libflute-java                         1:1.1.6-4                            Java CSS parser using SAC (JFree version)                            
libfonts-java                         1.1.6.dfsg-3                         Java fonts layouting library                                         
libformula-java                       1.1.7.dfsg-2                         Excel(tm) style formula expressions library                          
libfreehand-0.1-1:armhf               0.1.2-2                              Library for parsing the FreeHand file format structure               
libgeronimo-annotation-1.3-spec-java  1.0-1                                Apache Geronimo Common Annotations 1.3 API                           
libgeronimo-interceptor-3.0-spec-java 1.0.1-4                              Geronimo API implementation of the Interceptor 3.0 spec              
libgit2-27:armhf                      0.27.7+dfsg.1-0.2                    low-level Git library                                                
libglu1-mesa:armhf                    9.0.0-2.1                            Mesa OpenGL utility library (GLU)                                    
libgpgme11:armhf                      1.12.0-6                             GPGME - GnuPG Made Easy (library)                                    
libgpgmepp6:armhf                     1.12.0-6                             C++ wrapper library for GPGME                                        
libguava-java                         19.0-1                               Suite of Google common libraries for Java                            
libguice-java                         4.2.1-1                              lightweight dependency injection framework for Java 5 and above      
libhawtjni-runtime-java               1.16-1                               Java library that provide JNI code generation                        
libhsqldb1.8.0-java                   1.8.0.10+dfsg-10                     Java SQL database engine                                             
libhttp-parser2.8:armhf               2.8.1-1                              parser for HTTP messages written in C                                
libhttpclient-java                    4.5.7-1+deb10u1                      HTTP/1.1 compliant HTTP agent implementation                         
libhttpcore-java                      4.4.11-1                             set of low level HTTP transport components for Java                  
libib-util:armhf                      3.0.5.33100.ds4-2                    Firebird UDF support library                                         
libice-dev:armhf                      2:1.0.9-2                            X11 Inter-Client Exchange library (development headers)              
libicu4j-java                         62.1-2                               Library for Unicode support and internationalization                 
libintellij-annotations-java          17.0.0-1                             transitional package for libjetbrains-annotations-java               
libistack-commons-java                3.0.6-3                              Common code for some Glassfish projects                              
libitext-java                         2.1.7-12                             Java Library to create and manipulate PDF on the fly                 
libjansi-java                         1.17.1-1                             Java library for generating and interpreting ANSI escape sequences   
libjansi-native-java                  1.8-1                                Java library for ANSI escape sequences - native component            
libjaxb-api-java                      2.3.1-1                              Java Architecture for XML Binding API                                
libjaxb-java                          2.3.0.1-8                            JAXB Reference Implementation                                        
libjaxen-java                         1.1.6-4                              Java XPath engine                                                    
libjcommon-java                       1.0.23-1                             General Purpose library for Java                                     
libjdom1-java                         1.1.3-2                              lightweight and fast library using XML                               
libjetbrains-annotations-java         17.0.0-1                             annotations used for code inspection support and code documentation  
libjs-inherits                        2.0.3-1                              Exposes inherits function from Node.js environment                   
libjs-is-typedarray                   1.0.0-2                              JavaScript library checking if object is TypedArray                  
libjs-jquery-ui                       1.12.1+dfsg-5                        JavaScript UI library for dynamic web applications                   
libjsoup-java                         1.10.2-2                             Java HTML parser that makes sense of real-world HTML soup            
libjsp-api-java                       2.3.4-2+deb10u1                      JavaServer Pages API                                                 
libjsr305-java                        0.1~+svn49-11                        Java library that provides annotations for software defect detection 
liblangtag-common                     0.6.2-1                              library to access tags for identifying languages -- data             
liblangtag1:armhf                     0.6.2-1                              library to access tags for identifying languages                     
liblayout-java                        0.2.10-3                             Java layouting framework                                             
libloader-java                        1.1.6.dfsg-4                         Java general purpose resource loading framework                      
liblockfile-bin:armhf                 1.14-1.1                             support binaries for and cli utilities based on liblockfile          
liblockfile1:armhf                    1.14-1.1                             NFS-safe locking library                                             
liblog4j1.2-java                      1.2.17-8+deb10u1                     Logging library for java                                             
libmail-java                          1.6.2-1                              JavaMail API Reference Implementation                                
libmaven-file-management-java         3.0.0-1                              Maven File Management API                                            
libmaven-parent-java                  31-2                                 Maven metadata for Apache Maven itself                               
libmaven-resolver-java                1.3.1-1                              Library to handle Java artifact repositories                         
libmaven-shared-io-java               3.0.0-3                              Maven API for I/O support                                            
libmaven-shared-utils-java            3.3.0-1                              Replacement for plexus-utils in Maven                                
libmaven3-core-java                   3.6.0-1                              Core libraries for Maven 3                                           
libmbedcrypto3:armhf                  2.16.0-1                             lightweight crypto and SSL/TLS library - crypto library              
libmbedtls12:armhf                    2.16.0-1                             lightweight crypto and SSL/TLS library - tls library                 
libmbedx509-0:armhf                   2.16.0-1                             lightweight crypto and SSL/TLS library - x509 certificate library    
libmhash2:armhf                       0.9.9.9-7                            Library for cryptographic hashing and message authentication         
libmspub-0.1-1:armhf                  0.1.4-1+b2                           library for parsing the mspub file structure                         
libmwaw-0.3-3:armhf                   0.3.14-1                             import library for some old Mac text documents                       
libmythes-1.2-0:armhf                 2:1.2.4-3                            simple thesaurus library                                             
libneon27-gnutls:armhf                0.30.2-3                             HTTP and WebDAV client library (GnuTLS enabled)                      
libnode-dev:armhf                     10.24.0~dfsg-1~deb10u1               evented I/O for V8 javascript (development files)                    
libnode64:armhf                       10.24.0~dfsg-1~deb10u1               evented I/O for V8 javascript - runtime library                      
libnumbertext-1.0-0:armhf             1.0.5-1                              Number to number name and money text conversion library              
libnumbertext-data                    1.0.5-1                              Number to number name and money text conversion library -- data files
libodfgen-0.1-1:armhf                 0.1.7-1                              library to generate ODF documents                                    
libopenjfx-java                       11.0.2+1-1                           JavaFX/OpenJFX - Rich client application platform for Java (Java libr
libopenjfx-jni:armhf                  11.0.2+1-1                           JavaFX/OpenJFX - Rich client application platform for Java (native li
liborcus-0.14-0:armhf                 0.14.1-6                             library for processing spreadsheet documents                         
libpagemaker-0.0-0:armhf              0.0.4-1                              Library for importing and converting PageMaker Documents             
libpentaho-reporting-flow-engine-java 0.9.4-5                              report library for java                                              
libpixie-java                         1:1.1.6-3                            Java Vector Format Viewer Library                                    
libplexus-archiver-java               3.6.0-2                              Archiver plugin for the Plexus compiler system                       
libplexus-cipher-java                 1.7-3                                Plexus Cipher Component used by Maven                                
libplexus-classworlds-java            2.6.0-1                              Class loading utilities for the Plexus framework                     
libplexus-component-annotations-java  1.7.1-7                              Plexus Component Annotations                                         
libplexus-interpolation-java          1.25-1                               Plexus Interpolation API                                             
libplexus-io-java                     3.1.1-1                              Plexus IO Components                                                 
libplexus-sec-dispatcher-java         1.4-4                                Plexus Security Dispatcher Component used by Maven                   
libplexus-utils2-java                 3.1.1-1                              utilities for the Plexus framework                                   
libpng12-0:armhf                      1.2.54-6                             PNG library - runtime                                                
libpq5:armhf                          11.11-0+deb10u1                      PostgreSQL C client library                                          
libpthread-stubs0-dev:armhf           0.4-1                                pthread stubs not provided by native libc, development files         
libqscintilla2-qt5-13:armhf           2.10.4+dfsg-2.1+rpi1                 Qt5 port of the Scintilla source code editing widget                 
libqscintilla2-qt5-l10n               2.10.4+dfsg-2.1+rpi1                 Scintilla source code editing widget for Qt5, translation files      
libqt5charts5:armhf                   5.11.3-2                             Qt charts shared library                                             
libqt5designer5:armhf                 5.11.3-4                             Qt 5 designer module                                                 
libqt5help5:armhf                     5.11.3-4                             Qt 5 help module                                                     
libqt5opengl5:armhf                   5.11.3+dfsg1-1+rpi1+deb10u4          Qt 5 OpenGL module                                                   
libqt5serialport5:armhf               5.11.3-2                             Qt 5 serial port support                                             
libqt5test5:armhf                     5.11.3+dfsg1-1+rpi1+deb10u4          Qt 5 test module                                                     
libqwt-qt5-6:armhf                    6.1.4-1                              Qt widgets library for technical applications (runtime, qt5)         
libqxp-0.0-0:armhf                    0.0.2-1                              library for reading and converting QuarkXPress files                 
libraptor2-0:armhf                    2.0.14-1.1~deb10u1                   Raptor 2 RDF syntax library                                          
librasqal3:armhf                      0.9.32-1                             Rasqal RDF query library                                             
librdf0:armhf                         1.0.17-1.1+b1                        Redland Resource Description Framework (RDF) library                 
librelaxng-datatype-java              1.0+ds1-3                            Java datatype interface for RELAX NG                                 
libreoffice-avmedia-backend-gstreamer:1:6.1.5-3+rpi1+deb10u7+rpt1          GStreamer backend for LibreOffice                                    
libreoffice-base-core:armhf           1:6.1.5-3+rpi1+deb10u7+rpt1          office productivity suite -- shared library                          
libreoffice-base-drivers:armhf        1:6.1.5-3+rpi1+deb10u7+rpt1          Database connectivity drivers for LibreOffice                        
libreoffice-base:armhf                1:6.1.5-3+rpi1+deb10u7+rpt1          office productivity suite -- database                                
libreoffice-calc:armhf                1:6.1.5-3+rpi1+deb10u7+rpt1          office productivity suite -- spreadsheet                             
libreoffice-common                    1:6.1.5-3+rpi1+deb10u7+rpt1          office productivity suite -- arch-independent files                  
libreoffice-core:armhf                1:6.1.5-3+rpi1+deb10u7+rpt1          office productivity suite -- arch-dependent files                    
libreoffice-draw:armhf                1:6.1.5-3+rpi1+deb10u7+rpt1          office productivity suite -- drawing                                 
libreoffice-gtk3:armhf                1:6.1.5-3+rpi1+deb10u7+rpt1          office productivity suite -- GTK+ 3 integration                      
libreoffice-help-common               1:6.1.5-3+rpi1+deb10u7+rpt1          office productivity suite -- common files for LibreOffice help       
libreoffice-help-en-gb                1:6.1.5-3+rpi1+deb10u7+rpt1          office productivity suite -- English_british help                    
libreoffice-impress:armhf             1:6.1.5-3+rpi1+deb10u7+rpt1          office productivity suite -- presentation                            
libreoffice-java-common               1:6.1.5-3+rpi1+deb10u7+rpt1          office productivity suite -- arch-independent Java support files     
libreoffice-l10n-en-gb                1:6.1.5-3+rpi1+deb10u7+rpt1          office productivity suite -- English_british language package        
libreoffice-librelogo                 1:6.1.5-3+rpi1+deb10u7+rpt1          Logo-like progamming language for LibreOffice                        
libreoffice-math:armhf                1:6.1.5-3+rpi1+deb10u7+rpt1          office productivity suite -- equation editor                         
libreoffice-nlpsolver                 0.9+LibO6.1.5-3+rpi1+deb10u7+rpt1    "Solver for Nonlinear Programming" extension for LibreOffice         
libreoffice-pi                        1:6.1.5-3+rpi1                       LibreOffice with the GTK theme                                       
libreoffice-report-builder            1:6.1.5-3+rpi1+deb10u7+rpt1          LibreOffice component for building database reports                  
libreoffice-report-builder-bin:armhf  1:6.1.5-3+rpi1+deb10u7+rpt1          LibreOffice component for building database reports -- libraries     
