Package Name                          Version                              Info
node-flush-write-stream               1.0.3-1                              Write stream constructor                                             
node-forever-agent                    0.6.1-1                              HTTP agent supporting keep-alive requests - module for Node.js       
node-form-data                        2.3.2-2                              Create multipart/form-data streams module for Node.js                
node-from2                            2.3.0-1                              wrapper for ReadableStream                                           
node-fs-vacuum                        1.2.10-2                             Remove empty branches in a directory tree                            
node-fs-write-stream-atomic           1.0.10-4                             Like fs.createWriteStream(...), but atomic                           
node-fs.realpath                      1.0.0-1                              Use node's fs.realpath                                               
node-gauge                            2.7.4-1                              terminal based horizontal progress bar                               
node-get-caller-file                  1.0.2-1                              inspects the v8 stack trace                                          
node-get-stream                       3.0.0-1                              Get a stream as a string, buffer, or array                           
node-getpass                          0.1.7-1                              get a password from terminal                                         
node-glob                             7.1.3-2                              glob functionality for Node.js                                       
node-got                              7.1.0-1                              Simplified HTTP requests                                             
node-graceful-fs                      4.1.11-1                             drop-in replacement improving the Node.js fs module                  
node-gyp                              3.8.0-6                              Native addon build tool for Node.js                                  
node-har-schema                       2.0.0-1                              JSON Schema for HTTP Archive (HAR)                                   
node-har-validator                    5.1.0-1                              Extremely fast HTTP Archive (HAR) validator using JSON Schema        
node-has-flag                         2.0.0-1                              check if argv has a specific flag                                    
node-has-symbol-support-x             1.4.1+dfsg-1                         Tests if ES6 Symbol is supported                                     
node-has-to-string-tag-x              1.4.1+dfsg-1                         Tests if ES6 @@toStringTag is supported                              
node-has-unicode                      2.0.1-2                              Try to guess if your terminal supports unicode                       
node-hosted-git-info                  2.7.1-1                              Provides metadata from Github, Bitbucket and Gitlab                  
node-http-signature                   1.2.0-1                              Reference implementation of Joyent's HTTP Signature scheme           
node-iconv-lite                       0.4.13-2                             Pure JS character encoding conversion                                
node-iferr                            1.0.2-1                              Higher-order functions for easier error handling                     
node-import-lazy                      3.0.0.REALLY.2.1.0-1                 import a module lazily                                               
node-imurmurhash                      0.1.4-1                              incremental implementation of MurmurHash3 hashing algorithm          
node-inflight                         1.0.6-1                              add callbacks to requests in flight to avoid async duplication       
node-inherits                         2.0.3-1                              Exposes inherits function from Node.js environment                   
node-ini                              1.3.5-1+deb10u1                      ini format parser and serializer for Node.js                         
node-invert-kv                        1.0.0-1                              invert the key/value of an object                                    
node-is-builtin-module                2.0.0-1                              Check if string matches name of a Node.js builtin module             
node-is-npm                           1.0.0-1                              Checks if your code is running as an npm script                      
node-is-object                        1.0.1-1                              Checks whether a value is an object                                  
node-is-plain-obj                     1.1.0-1                              Check if a value is a plain object                                   
node-is-retry-allowed                 1.1.0-1                              Is retry allowed for Error?                                          
node-is-stream                        1.1.0-1                              Check if something is a Node.js stream                               
node-is-typedarray                    1.0.0-2                              JavaScript library checking if object is TypedArray                  
node-isarray                          2.0.4-1                              JavaScript Array#isArray for older browsers                          
node-isexe                            2.0.0-4                              minimal module to check if a file is executable                      
node-isstream                         0.1.2+dfsg-1                         Determine if an object is a Stream                                   
node-isurl                            1.0.0-1                              Checks whether a value is a WHATWG URL                               
node-jsbn                             1.1.0-1                              fast, portable implementation of large-number math in pure JS        
node-json-parse-better-errors         1.0.2-2                              JSON.parse() with context information on error                       
node-json-schema                      0.2.3-1                              JSON Schema validation and specifications                            
node-json-stable-stringify            1.0.1-1                              deterministic JSON.stringify()                                       
node-json-stringify-safe              5.0.1-1                              JSON.stringify with circular references module for Node.js           
node-jsonify                          0.0.0-1                              JSON without touching any globals                                    
node-jsonparse                        1.3.1-6                              Pure javascript JSON streaming parser for node.js                    
node-jsonstream                       1.3.2-1                              streaming JSON.parse and stringify                                   
node-jsprim                           1.4.0-1                              utilities for primitive JavaScript types                             
node-latest-version                   3.1.0-1                              Get the latest version of an npm package                             
node-lazy-property                    1.0.0-3                              Adds a lazily initialized property to the object                     
node-lcid                             1.0.0-1                              map standard locale identifies and lcid                              
node-libnpx                           10.2.0+repack-1                      support library for npx                                              
node-locate-path                      2.0.0-1                              Get the first path that exists on disk of multiple paths             
node-lockfile                         1.0.4-1                              Asynchronous file lock module for Node.js                            
node-lowercase-keys                   1.0.0-2                              Lowercase the keys of an object                                      
node-lru-cache                        5.1.1-4                              least-recently-used cache object for Node.js                         
node-mem                              1.1.0-1                              Memoize functions                                                    
node-mime-types                       2.1.21-1                             ultimate JavaScript content-type utility - Node.js module            
node-mimic-fn                         1.1.0-1                              Make a function mimic another one                                    
node-mimic-response                   1.0.0-1                              Mimic a Node.js HTTP response stream                                 
node-minimatch                        3.0.4-3                              Convert glob expressions into RegExp objects for Node.js             
node-minimist                         1.2.0-1+deb10u1                      Argument options parsing for Node.js                                 
node-mississippi                      3.0.0-1                              collection of useful streams                                         
node-mkdirp                           0.5.1-1                              Recursively create directories - Node.js module                      
node-move-concurrently                1.0.1-2                              Move files and directories concurrently                              
node-mute-stream                      0.0.8-1                              Pass-through stream that can be muted module for Node.js             
node-node-uuid                        3.3.2-2                              transitional package                                                 
node-nopt                             3.0.6-3                              Command-line option parser for Node.js                               
node-normalize-package-data           2.4.0-1                              Normalizes package metadata - Node.js module                         
node-normalize.css                    8.0.1-3                              Modern alternative to CSS resets                                     
node-npm-package-arg                  6.0.0-2                              Parse the things that can be arguments to npm install                
node-npm-run-path                     2.0.2-2                              Get your PATH prepended with locally installed binaries              
node-npmlog                           4.1.2-1                              Logger with custom levels and colored output for Node.js             
node-oauth-sign                       0.9.0-1                              OAuth 1 signing module for Node.js                                   
node-object-assign                    4.1.1-2                              ES2015 Object.assign() ponyfill                                      
node-once                             1.4.0-3                              Run a function only once with this module for Node.js                
node-opener                           1.4.3-1                              Opens stuff, like webpages and files and executables                 
node-os-locale                        2.0.0-1                              get the system locale                                                
node-osenv                            0.1.5-1                              Environment settings lookup module for Node.js                       
node-p-cancelable                     0.3.0-1                              Create a promise that can be canceled                                
node-p-finally                        1.0.0-2                              Invoked when the promise is settled regardless of outcome            
node-p-limit                          1.1.0-1                              run multiple promise-returning & async functions                     
node-p-locate                         2.0.0-1                              async version of Array#find                                          
node-p-timeout                        1.2.0-1                              Timeout a promise after a specified amount of time                   
node-package-json                     4.0.1-1                              Get metadata of a package from the npm registry                      
node-parallel-transform               1.1.0-2                              Runs transforms in parallel                                          
node-path-exists                      3.0.0-1                              Check if a path exists                                               
node-path-is-absolute                 1.0.0-1                              Node.js 0.12 path.isAbsolute() ponyfill                              
node-path-is-inside                   1.0.2-1                              Tests whether one path is inside another path                        
node-performance-now                  2.1.0+debian-1                       Implements performance.now (based on process.hrtime)                 
node-prepend-http                     2.0.0-1                              Prepend `http://` to humanized URLs like todomvc.com and localhost   
node-process-nextick-args             2.0.0-1                              process.nextTick but always with args                                
node-promise-inflight                 1.0.1-1                              one promise for multiple requests in flight to avoid async duplicatio
node-promzard                         0.3.0-1                              Promzard provides a prompting json wizard                            
node-proto-list                       1.2.4-1                              utility for managing a prototype chain                               
node-prr                              1.0.1-1                              Object.defineProperty() with common defaults - Node.js module        
node-pump                             3.0.0-1                              small node module that pipes streams together                        
node-pumpify                          1.5.1-1                              combine streams into a single duplex stream by pump and duplexify    
node-punycode                         2.1.1-2                              Nodejs robust Punycode converter fully RFC compliant                 
node-qs                               6.5.2-1                              Parse, stringify query strings for Node.js                           
node-qw                               1.0.1-1                              Quoted word literals                                                 
node-rc                               1.1.6-2                              find, load, flatten json or ini application configuration            
node-read                             1.0.7-1                              Read user input from stdin module for Node.js                        
node-read-package-json                2.0.13-1                             Read package.json for npm module for Node.js                         
node-readable-stream                  2.3.6-1                              stream compatibility library for Node.js and browser                 
node-registry-auth-token              3.3.1-1                              Get the auth token set for an npm registry (if any)                  
node-registry-url                     3.1.0-1                              Get the set npm registry URL                                         
node-request                          2.88.1-2                             simplified HTTP request client module for Node.js                    
node-require-directory                2.1.1-1                              require all files in a directory                                     
node-require-main-filename            1.0.1-1                              shim for require.main.filename() that works in as many environments a
node-resolve-from                     4.0.0-1                              Resolve the path of a module from a given path                       
node-retry                            0.10.1-1                             Retry strategies for failed operations module for Node.js            
node-rimraf                           2.6.2-1                              Deep deletion (like rm -rf) module for Node.js                       
node-run-queue                        1.0.3-1                              promise based dynamic priority queue runner                          
node-safe-buffer                      5.1.2-1                              Safer Node.js Buffer API                                             
node-semver                           5.5.1-1                              Semantic Versioning for Node.js                                      
node-semver-diff                      2.1.0-2                              get the diff type of two semver versions                             
node-set-blocking                     2.0.0-1                              set blocking stdio and stderr                                        
node-sha                              2.0.1-1                              Check and get file or stream hashes - module for Node.js             
node-shebang-command                  1.2.0-1                              Get the command from a shebang                                       
node-shebang-regex                    2.0.0-1                              Regular expression for matching a shebang line                       
node-signal-exit                      3.0.2-1                              Fire an event no matter how a process exits                          
node-slash                            1.0.0-1                              convert Windows backslash paths to slash paths                       
node-slide                            1.1.6-2                              Simple chain and asyncMap flow control module for Node.js            
node-sorted-object                    2.0.1-1                              Returns a copy of an object with its keys sorted                     
node-spdx-correct                     1.0.2-1                              correct invalid SPDX identifiers                                     
node-spdx-expression-parse            1.0.4-1                              parse SPDX license expressions                                       
node-spdx-license-ids                 1.2.2-1                              List of SPDX license identifiers                                     
node-sshpk                            1.13.1+dfsg-2                        library for finding and using SSH public keys                        
node-ssri                             5.2.4-2                              Utility for parsing, serializing, generating and verifying  ssri meta
node-stream-each                      1.2.2-2                              Iterate all the data in a stream                                     
node-stream-iterate                   1.2.0-4                              Iterate through the values in a stream                               
node-stream-shift                     1.0.0-1                              returns the next buffer/object in a stream's readable queue          
node-string-decoder                   1.2.0-1                              string_decoder module from Node core for browsers                    
node-string-width                     2.1.1-1                              Get the visual width of a string                                     
node-strip-ansi                       4.0.0-1                              strip ANSI escape codes                                              
node-strip-eof                        1.0.0-2                              strip CR and LF characters from a string/buffer                      
node-strip-json-comments              2.0.1-2                              Node.js module to strip comments from JSON                           
node-supports-color                   4.4.0-2                              Detect whether a terminal supports color in Node.js                  
node-tar                              4.4.6+ds1-3                          read and write portable tar archives module for Node.js              
node-term-size                        1.2.0+dfsg-2                         Reliably get the terminal window size                                
node-text-table                       0.2.0-2                              borderless text tables with alignment                                
node-through                          2.3.8-1                              simplified stream construction                                       
node-through2                         2.0.5-2                              Make a stream.Transform out of a function - Node.js module           
node-timed-out                        4.0.1-4                              Emit `ETIMEDOUT` or `ESOCKETTIMEDOUT` when ClientRequest is hanged   
node-tough-cookie                     2.3.4+dfsg-1                         RFC6265 Cookies and Cookie Jar for node.js                           
node-tunnel-agent                     0.6.1-1                              HTTP proxy tunneling agent module for Node.js                        
node-tweetnacl                        0.14.5+dfsg-3                        Port of TweetNaCl cryptographic library to JavaScript                
node-typedarray                       0.0.6-1                              TypedArray polyfill for old browsers                                 
node-uid-number                       0.0.6-1                              Convert a username/group name to a uid/gid number                    
node-unique-filename                  1.1.0+ds-2                           unique filename for use in temporary directories or caches           
node-unpipe                           1.0.0-1                              Unpipe a stream from all destinations                                
node-url-parse-lax                    1.0.0-1                              url.parse() with support for protocol-less URLs & IPs                
node-url-to-options                   1.0.1-1                              Convert a WHATWG URL to an http(s).request options object            
node-util-deprecate                   1.0.2-1                              Node.js's `util.deprecate()` function with browser support           
node-uuid                             3.3.2-2                              simple and fast RFC4122 UUID generation - Node.js module             
node-validate-npm-package-license     3.0.1-1                              Tells if a string is a valid npm package license string              
node-validate-npm-package-name        3.0.0-1                              Checks if a string is a valid npm package name                       
node-verror                           1.10.0-1                             rich JavaScript errors                                               
node-wcwidth.js                       1.0.0-1                              wcwidth.js is a javascript porting of C's wcwidth()                  
node-which                            1.3.0-2                              Cross-platform 'which' module for Node.js                            
node-which-module                     2.0.0-1                              Find the module object for something that was require()d             
node-wide-align                       1.1.0-1                              Wide-character aware text alignment function                         
node-widest-line                      1.2.2-1                              Get the visual width of the widest line in a string -                
node-wrap-ansi                        4.0.0-1                              Wordwrap a string with ANSI escape codes                             
node-wrappy                           1.0.2-1                              Callback wrapping utility                                            
node-write-file-atomic                2.3.0-1                              Write files in an atomic fashion w/configurable ownership            
node-xdg-basedir                      3.0.0-1                              Get XDG Base Directory paths                                         
node-xtend                            4.0.1-2                              extend like a boss                                                   
node-y18n                             3.2.1-2+deb10u1                      bare-bones internationalization library used by yargs                
node-yallist                          3.0.3-1                              Double linked list implementation for Node.js                        
node-yargs                            10.0.3-2                             yargs the modern, pirate-themed, successor to optimist.              
node-yargs-parser                     11.1.1-1+deb10u1                     mighty option parser used by yargs                                   
nodejs-doc                            10.24.0~dfsg-1~deb10u1               API documentation for Node.js, the javascript platform               
nodejs:armhf                          10.24.0~dfsg-1~deb10u1               evented I/O for V8 javascript - runtime executable                   
nodered:armhf                         1.3.4-1                              Node-RED - low-code programming for event-driven applications        
npm                                   5.8.0+ds6-4+deb10u2                  package manager for Node.js                                          
nuscratch:armhf                       20210507                             Scratch running on the Stack (Cog) VM                                
openjdk-11-jdk-headless:armhf         11.0.11+9-1~deb10u1                  OpenJDK Development Kit (JDK) (headless)                             
openjdk-11-jdk:armhf                  11.0.11+9-1~deb10u1                  OpenJDK Development Kit (JDK)                                        
openjdk-11-jre-headless:armhf         11.0.11+9-1~deb10u1                  OpenJDK Java runtime, using Hotspot JIT (headless)                   
openjdk-11-jre:armhf                  11.0.11+9-1~deb10u1                  OpenJDK Java runtime, using Hotspot JIT                              
openjfx-source                        11.0.2+1-1                           JavaFX/OpenJFX - Rich client application platform for Java (sources) 
openjfx:armhf                         11.0.2+1-1                           JavaFX/OpenJFX - Rich client application platform for Java           
pyflakes                              2.0.0-1                              passive checker of Python 2 programs                                 
pyflakes3                             2.0.0-1                              passive checker of Python 3 programs                                 
python-games                          0.1                                  Example games written in Python                                      
python-matplotlib-data                3.0.2-2                              Python based plotting system (data package)                          
python-minecraftpi                    0.1.1-5                              Python API for Minecraft Pi                                          
python-picraft                        1.0                                  Alternative API for controlling Minecraft from Python.               
python-pyflakes                       2.0.0-1                              passive checker of Python 2 programs - Python modules                
python-sense-emu                      1.1.2                                Client library for the Raspberry Pi Sense HAT emulator.              
python-sense-emu-doc                  1.1.2                                Documentation for the Raspberry Pi Sense HAT emulator.               
python3-appdirs                       1.4.3-1                              determining appropriate platform-specific directories (Python 3)     
python3-cycler                        0.10.0-1                             composable kwarg iterator (Python 3)                                 
python3-dateutil                      2.7.3-3                              powerful extensions to the standard Python 3 datetime module         
python3-decorator                     4.3.0-1.1                            simplify usage of Python decorators by programmers                   
python3-gi-cairo:armhf                3.30.4-1                             Python 3 Cairo bindings for the GObject library                      
python3-guizero                       0.6.0+dfsg1-1                        module to allow quick and easy GUI creation (Python 3)               
python3-ipykernel                     4.9.0-1                              IPython kernel for Jupyter (Python 3)                                
python3-ipython                       5.8.0-1                              Enhanced interactive Python shell (Python 3 version)                 
python3-ipython-genutils              0.2.0-1                              IPython vestigial utilities for Python 3                             
python3-jupyter-client                5.2.3-1                              Jupyter protocol client APIs (Python 3)                              
python3-jupyter-core                  4.4.0-2                              Core common functionality of Jupyter projects for Python 3           
python3-kiwisolver:armhf              1.0.1-2+b1                           fast implementation of the Cassowary constraint solver - Python 3.X  
python3-matplotlib:armhf              3.0.2-2                              Python based plotting system in a style similar to Matlab (Python 3) 
python3-minecraftpi                   0.22-1                               Raspberry PI Minecraft API python client library                     
python3-nudatus                       0.0.4-1                              module to remove comments from Python 3 scripts                      
python3-pickleshare                   0.7.5-1                              File system based database that uses Python pickles for Python 3     
python3-picraft                       1.0                                  Alternative API for controlling Minecraft from Python.               
python3-pil.imagetk:armhf             5.4.1-2+deb10u2                      Python Imaging Library - ImageTk Module (Python3)                    
python3-prompt-toolkit                1.0.15-1                             library for building interactive command lines (Python 3)            
python3-pycodestyle                   2.4.0-2                              Python style guide checker (formerly called pep8) - Python 3.x       
python3-pyflakes                      2.0.0-1                              passive checker of Python 3 programs - Python modules                
python3-pyparsing                     2.2.0+dfsg1-2                        alternative to creating and executing simple grammars - Python 3.x   
python3-pyqt5:armhf                   5.11.3+dfsg-1+rpi1+b3                Python 3 bindings for Qt5                                            
python3-pyqt5.qsci:armhf              2.10.4+dfsg-2.1+rpi1                 Python 3 bindings for QScintilla 2 with Qt 5                         
python3-pyqt5.qtchart:armhf           5.11.3+dfsg-1                        Python 3 bindings for Qt5's Charts module                            
python3-pyqt5.qtserialport:armhf      5.11.3+dfsg-1+rpi1+b3                Python 3 bindings for QtSerialPort module                            
python3-pyqt5.qtsvg:armhf             5.11.3+dfsg-1+rpi1+b3                Python 3 bindings for Qt5's SVG module                               
python3-qtconsole                     4.3.1-1                              Jupyter - Qt console (Python 3)                                      
python3-semver                        2.0.1-3                              helps to compare semantic versioning - Python 3.x                    
python3-sense-emu                     1.1.2                                Client library for the Raspberry Pi Sense HAT emulator.              
python3-simplegeneric                 0.8.1-2                              simple generic functions for Python3                                 
python3-sip:armhf                     4.19.14+dfsg-2                       Python 3/C++ bindings generator runtime library                      
python3-tornado:armhf                 5.1.1-4                              scalable, non-blocking web server and tools - Python 3 package       
python3-traitlets                     4.3.2-1                              Lightweight Traits-like package for Python 3                         
python3-uflash                        1.2.4+dfsg-1                         module and utility for flashing the BBC micro:bit                    
python3-uno:armhf                     1:6.1.5-3+rpi1+deb10u7+rpt1          Python-UNO bridge                                                    
python3-wcwidth                       0.1.7+dfsg1-3                        determine printable width of a string on a terminal (Python 3)       
python3-zmq:armhf                     17.1.2-2+deb10u1                     Python3 bindings for 0MQ library                                     
qjackctl:armhf                        0.5.0-1                              User interface for controlling the JACK sound server                 
rake                                  12.3.1-3+deb10u1                     ruby make-like utility                                               
realvnc-vnc-viewer:armhf              6.20.529.42646                       VNC® Viewer                                                          
rtimucli:armhf                        0.1                                  Simple command-line utility to read IMU                              
ruby-activesupport                    2:5.2.2.1+dfsg-1+deb10u2             Support and utility classes used by the Rails 4.1 framework          
ruby-afm                              0.2.2-1                              Ruby library to read Adobe Font Metrics files                        
ruby-ascii85                          1.0.3-1                              Ruby library to encode/decode the Ascii85 format                     
ruby-atomic:armhf                     1.1.16-2+b3                          atomic reference implementation for JRuby, Rubinius, and MRI         
ruby-coderay                          1.1.2-2                              Ruby library for syntax highlighting                                 
ruby-concurrent                       1.0.5-3                              modern concurrency tools for Ruby                                    
ruby-did-you-mean                     1.2.1-1                              smart error messages for Ruby > 2.3                                  
ruby-ffi:armhf                        1.9.10debian-1+b4                    load dynamic libraries, bind functions from within ruby code         
ruby-hamster                          3.0.0-2                              Efficient, immutable, thread-safe collection classes for Ruby        
ruby-hashery                          2.1.2-1                              facets-bread collection of Hash-like classes                         
ruby-i18n                             1.5.3-1+deb10u1                      I18n and localization solution for Ruby                              
ruby-kramdown                         1.17.0-1+deb10u2                     Fast, pure-Ruby Markdown-superset converter                          
ruby-memoist                          0.16.0-2                             Ruby library providing method memoization                            
ruby-minitest                         5.11.3-1                             Ruby test tools supporting TDD, BDD, mocking, and benchmarking       
ruby-multi-json                       1.12.1-1                             Ruby library to provide easy switching between different JSON backend
ruby-net-telnet                       0.1.1-2                              telnet client library                                                
ruby-oj:armhf                         3.7.6-1                              fast JSON parser and serializer for Ruby                             
ruby-pdf-core                         0.8.1-1                              Ruby library to render PDF documents                                 
ruby-pdf-reader                       2.1.0-1                              Ruby library for accessing the content of PDF files                  
ruby-power-assert                     1.1.1-1                              library showing values of variables and method calls in an expression
ruby-prawn                            2.2.0+dfsg-1                         fast, nimble PDF generation library for Ruby                         
ruby-prawn-table                      0.2.2-1                              table support for the Prawn PDF generation library                   
ruby-rc4                              0.1.5-3                              Ruby library implementing the RC4 algorithm                          
ruby-rouge                            3.3.0-1                              pure-Ruby syntax highlighter compatible with pygments                
ruby-rugged:armhf                     0.27.4+ds-1                          Ruby binding to the libgit2 library                                  
ruby-stringex                         2.8.4-1                              Some useful extensions to Ruby's String class                        
ruby-test-unit                        3.2.8-1                              unit testing framework for Ruby                                      
ruby-thread-safe                      0.3.6-1                              thread-safe collections and utilities for Ruby                       
ruby-ttfunk                           1.5.1-1                              Ruby library to parse TrueType font metrics                          
ruby-tzinfo                           1.2.5-1                              Daylight-savings aware timezone library                              
ruby-wavefile                         0.6.0-2                              Pure Ruby library for reading and writing Wave sound files (*.wav)   
ruby-xmlrpc                           0.3.0-2                              XMLRPC library for Ruby                                              
ruby:armhf                            1:2.5.1+b1                           Interpreter of object-oriented scripting language Ruby (default versi
ruby2.5:armhf                         2.5.5-3+deb10u3                      Interpreter of object-oriented scripting language Ruby               
rubygems-integration                  1.11+deb10u1                         integration of Debian Ruby packages with Rubygems                    
sc3-plugins-server:armhf              3.9.1~repack-3+b1                    Compiled scsynth UGen plugins for SuperCollider                      
scratch                               1.4.0.6~dfsg1-6                      easy to use programming environment for ages 8 and up                
scratch3:armhf                        1.0.6                                Electron build of Scratch 3 offline                                  
sense-emu-tools                       1.1.2                                Emulator for the Raspberry Pi Sense HAT.                             
smartsim:armhf                        1.4                                  Digital logic circuit design and simulation package.                 
sonic-pi-samples                      3.1.0~repack~test2-1                 Audio samples for Sonic Pi                                           
sonic-pi-server                       3.1.0~repack~test2-1                 Backend server for Sonic Pi                                          
sonic-pi:armhf                        3.1.0~repack~test2-1                 Live Coding for Everyone                                             
squeak-vm:armhf                       1:4.10.2.2614-8                      virtual machine for Smalltalk                                        
supercollider-server:armhf            1:3.10.0+repack-1+rpi1               real time audio synthesis server                                     
ttf-bitstream-vera                    1.10-8                               The Bitstream Vera family of free TrueType fonts                     
uno-libs3:armhf                       6.1.5-3+rpi1+deb10u7+rpt1            LibreOffice UNO runtime environment -- public shared libraries       
ure:armhf                             6.1.5-3+rpi1+deb10u7+rpt1            LibreOffice UNO runtime environment                                  
wolfram-engine:armhf                  12.1.1+2020081901                    Mathematica® and the Wolfram Language                                
wolframscript:armhf                   1.4.0+2020081702                     WolframScript (for the Command Line)                                 
x11proto-core-dev                     2018.4-4                             transitional dummy package                                           
x11proto-dev                          2018.4-4                             X11 extension protocols and auxiliary headers                        
xfonts-100dpi                         1:1.0.4+nmu1                         100 dpi fonts for X                                                  
xfonts-encodings                      1:1.0.4-2                            Encodings for X.Org fonts                                            
xfonts-utils:armhf                    1:7.7+6                              X Window System font utility programs                                
xorg-sgml-doctools                    1:1.11-1                             Common tools for building X.Org SGML documentation                   
xtrans-dev                            1.3.5-1                              X transport library (development files)                              
zip:armhf                             3.0-11                               Archiver for .zip files                                              
